serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
209;Invotrix: The Wireless Magnetic Connected All-in-1 Desktop;7;left;Hardware;Denver, CO;;Invotrix;[];https://www.kickstarter.com/projects/1638497014/invotrix-adjustable-all-in-1-desktop-with-powerful-mini-pc;Intel Core i9-13900H | Detachable & Poratble Mini PC | 15.6” Touchscreen | 32GB DDR5 & 2TB SSD | 12 Ports | Adjustable Height & Angle
210;SOOCOO S50+: Your Best 4K Dual-Recording Riding Camera;7;left;Hardware;Hong Kong, Hong Kong;;Pictime;[];https://www.kickstarter.com/projects/pictime/soocoo-s50-unleashing-filming-wonders-by-dual-recording;1080P+1080P Front & Rear Dual-channel丨4K Front Single-channel丨WiFi App Remote Control丨170° Wide-Angle丨Suitable for Cycling Photography
211;ZoomYao Max:Compact Yet Powerful 2-in-1 Air Blaster & Vacuum;12;left;Gadgets;Hong Kong, Hong Kong;;ZoomYao;[];https://www.kickstarter.com/projects/zoomyao/zoomyao-max-compact-yet-powerful-2-in-1-air-blaster-and-vacuum;Blow & Vacuum | 40mm Brushless Motor | 500G Wind Pressure | 40W Fast Charge | 10000mAh Battery | 4-level Pressure | 90,000 RPM Speed
212;ONE BOX 3.0/ Ancient craft wooden storage box;12;left;Gadgets;Beaverton, OR;;CHENGSHE.design;[];https://www.kickstarter.com/projects/chengshedesign/one-box-30-ancient-craft-wooden-storage-box;Board Game Storage/magnetic/stationery box/natural wood/modular/EDC
213;SidePlast;2;left;Hardware;Tauberbischofsheim, Germany;;Marco Ederer;[];https://www.kickstarter.com/projects/2010435967/sideplast;The world's first fully 3D printed sidecars.
214;Essenza Del Massaggio;12;left;Apps;Carbonia, Italy;;Giuseppe Medda;['https://appessenzadelmassaggio.it/'];https://www.kickstarter.com/projects/giuseppemedda/essenza-del-massaggio;Il benessere a portata di click
215;Navigate Your Wellness Journey with The Nav App;24;left;Apps;Christchurch, NZ;;Moka Te Wake;[];https://www.kickstarter.com/projects/moka/navigate-your-wellness-journey-with-the-nav-app;Support The Nav App: A wellness platform for clarity, healing, and sustainable personal growth. Be part of the journey today!
216;Bringing Healthcare Price Clarity To All;7;left;Software;Charlotte, NC;;SumHealth;['https://www.sumhealth.org/'];https://www.kickstarter.com/projects/sumhealth/bringing-healthcare-price-clarity-to-all;Search real hospital prices for FREE and know exactly what you should pay before your visit.
217;Cult of the Dark Abyss;7;left;3D Printing;Sheridan, WY;;Z-Kino;['https://www.z-kino.com/'];https://www.kickstarter.com/projects/z-kino/cult-of-the-dark-abyss;3D-printable miniatures for use in tabletop roleplaying games, or just to paint!
218;Business Manager;37;left;Apps;Barcelona, Spain;;Teo;['https://teoarandaa.github.io/BusinessManager_web/index.html'];https://www.kickstarter.com/projects/teoarandaa/business-manager;Department Performance, Mastered. Transform organizational efficiency with real-time insights and strategic optimization.
219;REM: The Foldable Speed Stick for any Skater;6;left;Hardware;Barcelona, Spain;;Limitless Propulsions;[];https://www.kickstarter.com/projects/limitlesspropulsions/rem-the-foldable-propulsion-stick;Make your city, your own personal playground with REM, the foldable speed stick.
220;Embo/Trend Application;36;left;Apps;Baltimore, MD;;Moses Ireri;[];https://www.kickstarter.com/projects/theemboapp/embo-trend-application;Urembo/Fashion Trendz
221;DAREU A70: A Sleek One-Piece Aluminum QMK Magnetic Keyboard;21;left;Gadgets;Denver, CO;;DAREU;['https://dareu.com/'];https://www.kickstarter.com/projects/dareu/dareu-a70-maestro-ultra-sleek-horizontal-assemblied-keyboard;One-Piece Aluminum | For Neat Freaks & Gamers | 71 Keys | RGB Backlit | Heracles Gasket | Wired Magnetic Switch & Tri-Mode QMK Versions
222;magiskill: Interactive 3D Magic Trick Tutorials;6;left;Software;Milano, Italy;;Sibelio;['https://magiskill.com/'];https://www.kickstarter.com/projects/sibelio/magiskill-interactive-3d-magic-trick-tutorials;Master Sleight of Hand with Interactive 3D Tutorials. Save time and learn Magic easily.
223;MultiControl - Control Multiple PCs with One Keyboard/Mouse;6;left;DIY Electronics;Michigan City, IN;;Electro Mancer;[];https://www.kickstarter.com/projects/electronics-maker/multicontrol-control-multiple-pcs-with-one-keyboard-mouse;Control multiple computers with a single keyboard and mouse, no software required, for a smooth and efficient workflow across devices
224;Crypto Trade Sage: AI-powered assistant for crypto trading;6;left;Apps;Wroclaw, Poland;;Mykola;[];https://www.kickstarter.com/projects/tradesage/crypto-trade-sage-ai-powered-assistant-for-crypto-trading;Unlock expert-level cryptocurrency insights and trading strategies with AI-driven precision.
225;TerriTie: In-Person Friendships and Dating! (Try App Now!);36;left;Apps;Auckland, NZ;;Ahmad Aljazeeri;['https://www.territie.com/'];https://www.kickstarter.com/projects/territieapp/territie-face-to-face-friendships-and-dating;App is READY for DOWNLOAD! Experience Real-Life Connections with TerriTie's Award-Winning Framework. Pick a Place, and a Face!
226;ChargeStick: Ultra-Small 4-in-1 Wireless Charger, Only 35g;6;left;Gadgets;Hong Kong, Hong Kong;;Chargestick;[];https://www.kickstarter.com/projects/1576488563/chargestick-ultra-small-4-in-1-wireless-charger-only-35g;Ultra-small & Portable丨35g丨Charge 3 Devices Simultaneously丨Charge All Devices丨 PD60W Fast-Charge丨USB2.0 Data-sync丨Fits on Keyring
227;Phomemo F12 - Smarter Label Maker, More Organized Life;36;left;Hardware;Zhuhai, China;;PHOMEMO-OFFICIAL;['https://www.phomemo.com/'];https://www.kickstarter.com/projects/phomemo-p15-printer/phomemo-f12-smarter-label-maker-more-organized-life;One-Click Creation | Ink-Free Design | Individual Printing | Magnetic Attachment | Bluetooth Connectivity | Infinity App
228;HiveMnd: The Skill-Sharing Platform of the Future;34;left;Apps;Clearwater, FL;;Jonathan Smith;[];https://www.kickstarter.com/projects/586939676/hivemnd-the-skill-sharing-platform-of-the-future;Empowering learners and instructors to connect, grow, and succeed—anytime, anywhere.
229;UberKiwi - Fully Automatic Watch Cleaning Machine;6;left;3D Printing;Auckland, NZ;;Frank;[];https://www.kickstarter.com/projects/kiwicleaner/uberkiwi-the-automatic-kiwicleaner;From the creator of KiwiCleaner. UberKiwi increases the joy of Watchmaking.
230;Empowering IT Talent Worldwide;6;left;Web;Deutsch, Germany;;ITLinker;[];https://www.kickstarter.com/projects/itlinker/empowering-it-talent-worldwide;Connecting skilled IT professionals in developing countries with global opportunities through fairness, innovation, and inclusivity.
231;PalletBot, a Warehouse autonomus robot;35;left;Robots;Bitonto, Italy;;Francesco;['https://sites.google.com/view/palletbot'];https://www.kickstarter.com/projects/roboticway/palletbot-a-wharehouse-autonomus-robot;An autonomous robot for loading and unloading goods and transporting pallets in warehouses
232;ACEFIT Pro: Open-Ear Design, Exceptional Sound, Unique Glow;20;left;Sound;Hong Kong, Hong Kong;;ACEFAST;['https://acefast.com/'];https://www.kickstarter.com/projects/1416659071/acefit-pro;Wireless open-ear design meets illumination. 40 LED breathing light matrix, 3-magnet speaker, 0.7mm titanium wire, 7.6g lightweight
233;Webot AI Chatbot: Your Website's 24/7 Smart Assistant;35;left;Software;Atlanta, GA;;Adrien Kubwimana;['https://webotchatbot.com/'];https://www.kickstarter.com/projects/kubwimana/webot-ai-chatbot-your-websites-24-7-smart-assistant;Boost engagement with Webot AI Chatbot: a customizable, smart assistant for real-time website support and lead generation.
234;EcoApps;35;left;Apps;Ammanford, UK;;Crispin Broome;['https://ecoapps.co.uk/'];https://www.kickstarter.com/projects/crisbroome/ecoapps;Transforming Climate Action with Innovative Solutions
235;Alpha Dock: Power, Style, and Function in One;5;left;Hardware;London, UK;;Alpha Dock LTD;['https://www.alphadock.shop/'];https://www.kickstarter.com/projects/10475119/alpha-dock-power-style-and-function-in-one;A sleek, multifunctional dock with wireless charging, 3-display support, and ample connectivity for your devices
236;Closing the Loop: Recycling Turbine Blades into EcoPlastics;12;left;3D Printing;Montreal, Canada;;Brogan Csinger;['https://www.fibecycle.com/'];https://www.kickstarter.com/projects/fibecycle/closing-the-loop-recycling-turbine-blades-into-ecoplastics;Support our mission to transform turbine blades into eco-engineered, high-quality materials, reducing CO2 emissions.
237;EDGE K4 Electric Fin with Bluetooth Remote | Steer Freely;35;left;Hardware;Columbus, OH;;EdgeSmartDrive Offical;['https://sunnyskyusa.com/'];https://www.kickstarter.com/projects/edgesmartdrive/edge-k4-electric-fin-with-bluetooth-remote-steer-freely;Design for SUP/Kayak | Precise Steering | 2.2lb weight |Max 19.8lb Thrust| Max 6.6ft/s Speed| Replaceable battery offer 20-100Mins Runt
238;Vezone - Die Plattform für Fitness, Sport & Gesundheit;14;left;Apps;Strasshof, Austria;;Lucija Filipovic;['https://www.vezone.at/', 'https://vezone.app/'];https://www.kickstarter.com/projects/vezone/vezone-die-plattform-fur-fitness-sport-and-gesundheit;Die Plattform, die Fitness, Sport und Gesundheit vereint: Finde Experten, teile dein Wissen, vernetze dich
239;TempleReads App;34;left;Apps;New York, NY;;Rumi Kabir;[];https://www.kickstarter.com/projects/templereads/templereads-app;An App that gives you insights and actionable steps of non fiction books. Also lets you take a picture of a book cover for a summary!
240;InspectraTech, Property Inspections, Simple, Quick, Anytime!;19;left;Apps;Denver, CO;;Dan Howell;['https://www.linkedin.com/in/daniel-howell-cqf/', 'https://github.com/dhowell1027'];https://www.kickstarter.com/projects/inspectratech/inspectratech-property-inspections-simple-quick-anytime;Revolutionize property inspections with AI-powered computer vision. Faster, smarter, and more accurate assessments at your fingertips!
241;Capsulify: Timeless memories, digitally preserved;33;left;Web;Melbourne, AU;;Sebastian;[];https://www.kickstarter.com/projects/capsulify/capsulify-timeless-memories-digitally-preserved;Making time casuals modern, personal and timeless
242;AgentLinkHub.ai: Connecting AI Agents for a Smarter Future;3;left;Software;Valencia, Spain;;Alex Cooper;[];https://www.kickstarter.com/projects/1531866044/agentlinkhubai-connecting-ai-agents-for-a-smarter-future;A groundbreaking platform enabling AI agents to register, connect, and collaborate seamlessly.
243;Mighty ODIN: Power Bank & Charging Station & Data HUB;13;left;Gadgets;San Francisco, CA;;ODINIUM;['https://www.odinium.org/'];https://www.kickstarter.com/projects/odinium/mighty-odin-power-bank-and-charging-station-and-data-hub;45.000 mAh / 75.000 mAh / 100.000 mAh (360Wh) Options | 200W to 350W AC Outlet | Thunderbolt 4 Data HUB | 7.500mAh MagSafe Power Bank
244;Robo Playground;3;left;DIY Electronics;Los Angeles, CA;;Gina David;[];https://www.kickstarter.com/projects/roboplayground/robo-playground;Don't let AI to take your kids future job away! Equip children with critical skills in AI and robotics at play!
245;Lust Laundry: Your Time Matters, We’ll Handle the Rest!;3;left;Web;New York, NY;;Oliver Rosario;['https://lustlaundry.com/'];https://www.kickstarter.com/projects/lustlaundry/lust-laundry-revolutionizing-laundry-in-the-digital-age;With your support—transparent, reliable, and community-driven—we can bring stress-free, on-demand laundry service to life.
246;3BAR - Arm Training Reinvented;3;left;3D Printing;Italia, Italy;;Lorenzo;[];https://www.kickstarter.com/projects/163995077/3bar-arm-training-reinvented;The First Tool Dedicated for the Most Overlooked Muscles - Discover a New Frontier for the Gym World
247;OffGrid POS: Your Private, Cloud-Free Transaction Solution;33;left;Apps;Newcastle upon Tyne, UK;;Kieren Fitzharris;[];https://www.kickstarter.com/projects/kierenfitzharris/offgrid-pos-your-private-cloud-free-transaction-solution;Take control of your business with a subscription-based POS that keeps your data private and saves you from cloud hosting costs.
248;Gift.Gifts: Smart Gifting Powered By Personal Connections;5;left;Software;Manchester, UK;;Haseeb Khan;['https://www.linkedin.com/in/haseebkhanmpharm/', 'https://www.gift.gifts/'];https://www.kickstarter.com/projects/findmeagift/giftgifts-smart-gifting-powered-by-personal-connections;The Mobile App That Enables Thoughtful, Personalised Gifting For Anyone, Anywhere.
249;VortiPower VP20 - Tesla Powershare External Discharge Device;2;left;Hardware;Los Angeles, CA;;VortiPower;['https://vortipower.com/'];https://www.kickstarter.com/projects/vortipower/vortipower-vp2-tesla-3-y-s-x-powershare-external-discharge;3500W Power Output | NACS & CCS2 Compatible | Seamless Tesla Integration | Smart LCD Display | UL458 Certified | Built for Global Use
250;Hobby Boss Extremely Modular Organization System;2;left;3D Printing;Victoria, Canada;;Battle Boss Heavy Industries;['https://battleboss.ca/'];https://www.kickstarter.com/projects/bbhi/bosslok-completely-modular-hobby-system;The Hobby Boss system is engineered to be a 100% modular, support-free 3D printable hobby system package with over 1000 unique STL's
251;CV to DMX - Control Stage Lights from your Modular Synth;2;left;Sound;Erie, PA;;Jake's Custom Shop;['https://jakescustomshop.com/'];https://www.kickstarter.com/projects/jakescustomshop/cv-to-dmx-stage-lighting-eurorack-module;Transform your Eurorack performances into an immersive audio-visual experience.
252;Nothing Says Romance Like Ziplining Into A Swarm Of Bees.;32;left;Apps;Montreal, Canada;;Karl;['https://salutt.ca/', 'https://apps.apple.com/ca/app/salutt/id6547839929', 'https://play.google.com/store/apps/details?id=com.salutt&hl=en_IN'];https://www.kickstarter.com/projects/salutt/nothing-says-romance-like-ziplining-into-a-swarm-of-bees;Salutt 2.0: Safer, Smarter, Better!
253;Support Moodgram;21;left;Apps;Palo Alto, CA;;Rose Montlanto;['https://moodgram.com/'];https://www.kickstarter.com/projects/rosem/support-moodgram;Moodgram is a global mood tracker that uses big data and location-based information to uncover and identify how we collectively feel.
254;Pepper Rate: Dating App-No liking No Swiping;1;left;Apps;Hong Kong, Hong Kong;;Pepper Rate;[];https://www.kickstarter.com/projects/pepperrate/pepper-rate-dating-app-no-liking-no-swiping;Simplifying dating by matching users based on mutual compatibility scores.
255;IPASON Q27S: 300Hz Gaming Monitor With Sleek Unique Design;31;left;Hardware;Hong Kong, Hong Kong;;IPASON;['https://www.ipasonpc.com/'];https://www.kickstarter.com/projects/783500733/ipason-yao-q27s-monitor-unlock-your-full-gaming-potential;300Hz Refresh Rate | WQHD 2560 x 1440 | NVIDIA G-Sync & AMD Free Sync | Fast IPS Panel, 1ms Fast Response | TÜV Rheinland Certified
256;H.E.L.P. (Help Ensure Legal Protection);9;left;Apps;Dover, DE;;Leslie;['http://helpapp.network/'];https://www.kickstarter.com/projects/help-app-1/help-help-ensure-legal-protection;Empowering Your Rights: Help Us Launch the H.E.L.P. App and Protect Communities Everywhere
257;Trade Traditor- Trait the chart;1;left;Software;Toronto, Canada;;Joseph;[];https://www.kickstarter.com/projects/tradetraditor/trade-traditor-trait-the-chart;Its an application which helps to predict the upcoming movement of the chart by capturing a picture through your own device
258;Brain-Inspired AI for Visual Search;1;left;Software;Barcelona, Spain;;Mehdi Fatan Serj;['https://www.linkedin.com/in/mehdi-fatan-serj-99b5a05b/?originalSubdomain=es'];https://www.kickstarter.com/projects/visnetcm/brain-inspired-ai-for-visual-search;Intelligent Image Retrieval Software
259;ESP32 Agent Dev Kit;16;left;Makerspaces;Hong Kong, Hong Kong;;Wireless-Tag;['https://en.wireless-tag.com/'];https://www.kickstarter.com/projects/187470458/esp32-agent-dev-kit;"ChatGPT Agent | ESP32-S3 | ChatGPT Hardware | 3.5"" LCD | Wi-Fi | BLE | Alot Application | Desktop Smart Robot"
260;NomadVia;31;left;Web;Paris, France;;Eugeniu Jelimalai;['http://nomadvia.com/'];https://www.kickstarter.com/projects/nomadvia/nomadvia;"The Social Platform for Collaborative Travel Planning and Memorable Journeys"""
261;Platypod®️ Delta Travel Tripod;9;left;Camera Equipment;East Brunswick, NJ;;Larry Tiefenbrunn;['https://platypod.com/', 'https://www.platypod.com/pages/delta'];https://www.kickstarter.com/projects/platyball/platypod-delta-tripod;Flat compact tripod, professional grade with folding adjustable spiked and rubberized retractable feet by Platypod.
262;SwapThat!;30;left;Apps;Singapore, Singapore;;SwapThat! App;['https://www.instagram.com/_swapthat_/'];https://www.kickstarter.com/projects/swapthat/swapthat;Mobile App Revolutionizing Bartering in the Digital Age
263;Pilet: Opensource, Modular, Portable Mini Computer;19;left;Gadgets;Vancouver, Canada;;soulscircuit;['https://soulscircuit.com/'];https://www.kickstarter.com/projects/soulscircuit/pilet-opensource-modular-portable-mini-computer;Where retro meets modern, powered by Raspberry Pi 5 with 7-hour battery life, Starting at $199
264;Wild Grove - Wooden Mechanical Keycaps;15;left;Hardware;Budapest, Hungary;;Akos Hantos;[];https://www.kickstarter.com/projects/wildgrove/wild-grove-wooden-mechanical-keycaps;Handcrafted wooden keycaps that provide an unparalleled typing experience.
265;GLOSS Vault- Taking the effort out of organising your money;9;left;Apps;Sydney, AU;;GLOSS Vault;['https://www.gloss-vault.com/'];https://www.kickstarter.com/projects/glossvault/gloss-vault-taking-the-effort-out-of-organising-your-money;Discover GLOSS Vault, the app that simplifies tracking all your finances: bank accounts, stocks, loans, into one place.
266;Colddisk: Thunderbolt 3 Mini SSD Enclosure with 40Gbps Speed;10;left;Hardware;Hong Kong, Hong Kong;;Colddisk;[];https://www.kickstarter.com/projects/1454676355/colddisk-thunderbolt-3-mini-ssd-enclosure-with-40gbps-speed;USB4/Thunderbolt 3 mini SSD enclosure with 40Gbps speeds, superior cooling, and exceptional stability for high-performance storage.
267;DreamLife AI: Visualize and Achieve Your Goals;30;left;Apps;Phoenix, AZ;;Ayanna;[];https://www.kickstarter.com/projects/dreamlife/dreamlife-ai-visualize-and-achieve-your-goals;An app that scans your body and face, visualizes your dream life, and uses your own voice to guide you toward achieving it.
268;Collector's Edge: Track and Value Memorabilia Smarter;9;left;Apps;Nashua, NH;;VO;[];https://www.kickstarter.com/projects/1978936502/collectors-edge-track-and-value-memorabilia-smarter;Transform collectibles into investments—track, manage, and maximize their value with cutting-edge tools made for collectors.
269;MATT+ : Most Advanced Thumb Tip;14;left;Gadgets;Paris, France;;MAGIC DREAM;['https://magicdream.fr/'];https://www.kickstarter.com/projects/magicdreamparis/matt-most-advanced-thumb-tip;MATT+ is a new approach to Electronics in Magic, created by Yoan TANUJI, Guillaume BIENNÉ & Guillaume DONZEAU.
270;Modster Gaming;30;left;Web;Waukesha, WI;;Anthony;[];https://www.kickstarter.com/projects/modster/modster-gaming;Helping the video game modding community in a new way!
271;CarBuddy Automotive Tech AI Blockchain & Social Ecomm App;30;left;Hardware;Philadelphia, PA;;Jonathan;['https://www.carbuddyapp.com/', 'https://www.linkedin.com/in/joncordoba/'];https://www.kickstarter.com/projects/carbuddyapp-2021/carbuddy-the-future-of-automotive-culture-and-technology;Revolutionizing the Automotive experience with our plug-and-play tech, artificial intelligence, blockchain integration & application!
272;PandaVista: Dualeyes Solar-powered Outdoor Security Camera;29;left;Hardware;New York, NY;;Puwell Technology Inc.;['https://www.virtavo.com/'];https://www.kickstarter.com/projects/puwell/pandavista-dualeyes-solar-powered-outdoor-security-camera;Dual 2MP Resolution | 160° Viewing Angle | Full-Color Night Vision | Rechargeable Battery | Solar Powered | Smart AI Detection | IP66
273;Stud Find, Align, Measure – TappTec Handles It All with Ease;19;left;Hardware;Hong Kong, Hong Kong;;TappTec;['https://tapptec.com/', 'https://www.facebook.com/profile.php?id=61562748523527'];https://www.kickstarter.com/projects/tapptec/tapptec;One-stop solution for your jobsite needs: stud finder, laser measure, laser level, tape, angle gauge, APP connectivity, and LED display
274;SLAM XCAM 8K VR180 3D Camera - Smarter, Smoother, Stunning;9;left;Camera Equipment;Wilmington, DE;;SLAM Innovation;['http://www.vr180mall.com/'];https://www.kickstarter.com/projects/vr1803dcamera/slam-vr180-3d-ai-camera-smarter-smoother-sharper;"8K 30FPS VR180 3D Video | Dual 1/1.5"" CMOS Sensors | 10-bit Color | Snapdragon8 GN2 | Android13 | 6.67""AMOLED|5000mAh |100Mbps Data"
275;GrowGenie: Smart, Sustainable Gardening Made Simple;14;left;Hardware;New Orleans, LA;;Tim Ben;['https://sites.google.com/view/growgenie/home'];https://www.kickstarter.com/projects/growgenie/growgenie-smart-sustainable-gardening-made-simple;Advanced sensors, real-time insights, and a ‘Grow Back’ mission to restore coastal habitats.
276;wisteria lavender app;29;left;Apps;Puyallup, WA;;Mikaela;[];https://www.kickstarter.com/projects/1751505400/wisteria-lavender-app;An app to help people find lavender marriages
277;My Y – The Competitive Debate Platform;29;left;Apps;Oklahoma City, OK;;kamau exom;['https://myy.gg/'];https://www.kickstarter.com/projects/myy/my-y-the-competitive-debate-platform;A social media platform where you can argue passionately with structure.
278;AirCannon: A Storm in Your Hand. 124MPH Forceful Air Blower;24;left;Hardware;Delaware, OH;;Magpie Tech;['https://www.instagram.com/magpietech_us/', 'https://www.magpiefunding.com/', 'https://magpietech.us/', 'https://www.youtube.com/@MagpieTech_official/featured'];https://www.kickstarter.com/projects/magpietech/aircannon-a-storm-in-your-hand-100mph-forceful-air-blower;124MPH(200km/h) Power | 1.3lb Handy Size | Brushless 21V Motor | Jet Engine Blades | Heat-Resistant Design | 3 Nozzles | Hard Case
