serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
81;Concrete Guitars - Design & Sound - Made in Germany MAKE/100;52;left;Sound;Leipzig, Germany;;Martin Hengstermann;[];https://www.kickstarter.com/projects/hengstermann-guitars/concrete-guitars-design-and-sound-made-in-germany-make-100;Eye-catching guitars with a lightweight carbon concrete body.
82;iLS - iLearn Skill;52;left;Web;London, UK;;Islam ELHadary;['https://www.linkedin.com/in/islam-elhadary-525010130/'];https://www.kickstarter.com/projects/ilscamp/ils-ilearn-skill;Knowledge Is Free—Let’s Keep It That Way.
83;Orton AI: Your Personal Social Media Creative Assistant;22;left;Web;Milan, Italy;;Deepak Randhawa;['https://ortonai.com/'];https://www.kickstarter.com/projects/ortonai/orton-ai-your-personal-social-media-creative-assistant;Create endless social media content with one click. AI-powered assistant that helps you post at the perfect time.
84;PAL App and PANAFRICON;52;left;Apps;Calgary, Canada;;Pan African Lifestyle;['https://www.panafricanlifestyle.com/'];https://www.kickstarter.com/projects/panafricanlifestyle/pal-app-and-panafricon;A social media app uniting Black people globally and a premier Pan-African conference focused on community, connections, and capital.
85;TinyEdge：Multi-functional Portable MINI Mobile Phone Shaver;26;left;Gadgets;Colorado Springs, CO;;TinyEdge;[];https://www.kickstarter.com/projects/-ti/tinyedge-redefining-battery-free-portable-mini-shavers;Battery-free丨Use on cell phones/Mobile Power丨Razor丨Titanium丨Mini Portable丨3IN1丨68g丨Magnetic structure design丨NFC function
86;FoundYou - How Others Find You;26;left;Gadgets;Exeter, UK;;Marcus Brown;['https://foundyou.co.uk/'];https://www.kickstarter.com/projects/foundyou/foundyou-how-others-find-you;A groundbreaking device to help others to easily find your home - especially at night.
87;Make 100: Zifnu T-16 Pocket Panel Kit;51;left;DIY Electronics;Bellevue, WA;;Zifnu Electronics LLC;['http://www.zifnu.com/'];https://www.kickstarter.com/projects/zifnu/make-100-zifnu-t-16-pocket-panel-kit;A battery-powered 16-LED light panel kit that is ideal for EDC (everyday carry) when paired with a 3D printed case.
88;The future of Influencer Marketing Starts Here !;19;left;Apps;Seattle, WA;;Muhammad Uzair;[];https://www.kickstarter.com/projects/muhammaduzair/influencer-marketing-made-easy;We're developing a social media collaboration App for Android & IOS users - search, connect & hire effortlessly! Influencer Marketing
89;Join Dark Carz to Revolutionize Global Luxury Transportation;51;left;Apps;Miami, FL;;Patrick McAuliffe;[];https://www.kickstarter.com/projects/darkcarz/join-dark-carz-to-revolutionize-global-luxury-transportation;Join Dark Carz's Series A to expand globally, empower operators, and revolutionize luxury transportation with cutting-edge technology.
90;SmartMail: Secure, Paperless Letters and QR Document Sharing;21;left;Apps;Frankfurt, Germany;;Olushola david ibidapo;[];https://www.kickstarter.com/projects/1737210663/smartmail-secure-paperless-letters-and-qr-document-sharing;SmartMail: Revolutionizing communication with secure, paperless digital letters and smart QR code document sharing.
91;An innovative technology app to protect your items;51;left;Apps;Newark, DE;;Bmyfinder;['https://www.bmyfinder.com/'];https://www.kickstarter.com/projects/bmyfinder/an-innovative-technology-app-to-protect-your-items;Join the Bmyfinder family to help retrieve your lost item from any place in the world.
92;Make 100: Cipherling - a numbers station robot;20;left;Gadgets;Kent, UK;;Tim Burrell-Saward;['https://www.motherultimate.com/'];https://www.kickstarter.com/projects/motherultimate/make-100-cipherling-a-numbers-station-robot;A little desktop buddy who hunts down mysterious coded messages broadcast from all over the world
93;Love is blind dating app;50;left;Apps;Central Islip, NY;;Sean Murphy;['https://loveisblind.site/'];https://www.kickstarter.com/projects/blindlove/love-is-blind-dating-app;Summary Our patented app design Love is Blind is a software application or website specifically designed for blind or visually impaired
94;Realise App: Make Change Simple;21;left;Apps;Manchester, UK;;Realise;['https://realiseapp.uk/'];https://www.kickstarter.com/projects/realise/realise-make-change-simple;The fully individual personal development app that helps you make big changes, one step at a time.
95;loomos AI Glasses: All-day 16MP Capture & Memory with GPT-4o;35;left;Wearables;New York, NY;;loomos;['https://loomos.ai/', 'https://sharge.com/'];https://www.kickstarter.com/projects/loomos/loomos-ai-glasses;4k Photos & 1080P Videos｜Hi-Fi Open-ear Audio | ChatGPT-4o Empowered｜｜450mAh for 40h+ Standby｜49g All-day Wearing | Works Independently
96;VN-09: 5K Cam for Explorers, Voice Activated, Light Featured;20;left;Camera Equipment;Hong Kong, Hong Kong;;VN Tech;[];https://www.kickstarter.com/projects/1995380415/viran-5k-cam-for-explorers-voice-activated-light-featured;5K Recording | 145° Wide Angle | 7-Language Voice Control | IP67 Waterproof | 5Hours Runtime | Flashlight | Night Vision
97;MinVerse: The Haptic 3D Mouse for the Digital Age;50;left;Hardware;Montreal, Canada;;Haply Robotics Inc.;['https://www.haply.co/', 'https://www.linkedin.com/company/haplyrobotics/', 'https://www.youtube.com/@HaplyRobotics', 'https://www.instagram.com/haplyrobotics/', 'https://www.facebook.com/haplyrobotics/', 'https://www.tiktok.com/@haplyrobotics', 'https://x.com/haplyrobotics'];https://www.kickstarter.com/projects/haplyrobotics/minverse-the-haptic-3d-mouse-for-the-digital-age;Awarded CES® 2025 ‘Best of Innovation’—experience the 3D mouse that brings lifelike textures, forces, and immersion to your fingertips.
98;EcoTracker: your personal food and water safety tracker;18;left;Gadgets;Claymont, DE;;MILERD TECHNOLOGY;['https://milerd.com/'];https://www.kickstarter.com/projects/milerd/ecotracker;Checking level of harmful substances in fruits, vegetables and measures water parameters.
99;MOTOR-ZERO3.0：A new definition of a razor;20;left;Gadgets;Colorado Springs, CO;;MECH·ONE;['https://mation.top/'];https://www.kickstarter.com/projects/mech-one/motor-zero30-a-new-definition-of-a-razor;Portable|Miniature|110g|Self-sharpening blade|IPX7 waterproof|Magnetic structure|With mirror|Mecha Style|Metal cover
