serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
1;Dart Starter;Launching;none;Web;Telford, UK;;Iain Kennedy;[];https://www.kickstarter.com/projects/1388865089/dart-starter;The all in one website, bringing together the darts community
2;myinsightiq;Launching;none;Web;Toronto, Canada;;myinsightiq;[];https://www.kickstarter.com/projects/1681777653/myinsightiq;AI-powered speech-to-text for easy insights, guidance, collaboration and multilingual communication.
3;Ace Your ML Job Interview: The Proven System for Success;Launching;none;Software;Albuquerque, NM;;Adrian Rosebrock;['http://www.pyimagesearch.com/'];https://www.kickstarter.com/projects/adrianrosebrock/acing-machine-learning-interviews;Ace your next Machine Learning Job Interview! Get 3 ebooks with nearly 500 pages and over 100 CustomGPTs to prepare you.
4;EncouragedMe: A gentle push to keep you moving.;Launching;none;Software;Bratislava, Slovakia;;Federico A. Colli;[];https://www.kickstarter.com/projects/federicoacolli/encouragedme-a-gentle-push-to-keep-you-moving;Our application is bringing strong support and companionship in empowering you to reach your full potential.
5;LockyFi - 4G/Wi-Fi Remote Switch Controller;Launching;none;Hardware;London, UK;;Uzma Mohsin;[];https://www.kickstarter.com/projects/uzma/4g-2g-pico-2-channel-relay-remote-control-and-automation;Control Appliances Anywhere in the World — GSM & Internet-Based Automation | Control Devices via Call, SMS, and Wi-Fi
6;Tabello: Digital ordering platform with fair pricing;Launching;none;Apps;Foix, France;;Miguel Olmos;['https://miguel.coffee/', 'https://lihue.coffee/'];https://www.kickstarter.com/projects/miguelcoffee/tabello-digital-ordering-platform-with-fair-pricing;Tabello is a digital ordering platform that helps cafés and restaurants modernize their operations without charging exorbitant fees
7;Small board. Big possibilities! Xerxes Pi.;Launching;none;DIY Electronics;Macquarie Park, AU;;Rob Newport;['https://rapidanalysis.com/'];https://www.kickstarter.com/projects/1907647187/small-board-big-possibilities-xerxes-pi;The Xerxes Pi is one third the size of a standard Nano ITX board and will fit vertically in a 1U home lab or small business rack space.
8;Modular STL Sabers Neopixel Compatible;Launching;none;3D Printing;Autun, France;;STL Fun Forge;['https://www.facebook.com/profile.php?id=61556156969706'];https://www.kickstarter.com/projects/297230388/modular-stl-sabers-neopixel-compatible;320 STL parts fully compatible with Neopixel Technology AND with all previous MODULAR STL Kickstarter campaigns !
9;CamShell X1: Record and Relive Thrilling Rides;Launching;none;Wearables;Sydney, AU;;Nikolay Antonov;['https://actionprohelmet.com/'];https://www.kickstarter.com/projects/actionpro/camshell-x1-record-and-relive-thrilling-rides;Capture every moment with CamShell X1, compatible with GoPro and DJI – ride and record effortlessly.
10;Calmora;Launching;none;Apps;Ollon, Switzerland;;kamber antoine;['https://www.v-r-c.ch/', 'https://www.calmora.app/'];https://www.kickstarter.com/projects/antoinevrc/calmora;Une application mobile d'hypnose et de réalité virtuelle. Vous aurez le choix entre l'audio uniquement ou avec la VR via cardboard.
11;Lockin Veno Pro Smart Lock: Ultimate Guardian For Your Home;Launching;none;Hardware;Hollywood, CA;;Lockin;['https://lockin.com/'];https://www.kickstarter.com/projects/lockin/lockin-veno-pro-smart-lock-ultimate-guardian-for-your-home;Smart Lock with Palm Vein Recognition, AI-Powered 2K Panoramic Camera, and Solar Charging for Ultimate Home Security and Convenience.
12;Matetops: World's 1st Solid-State Battery Home Power Station;Launching;none;Hardware;Hong Kong, Hong Kong;;Matetops;[];https://www.kickstarter.com/projects/matetops/matetops-worlds-1st-solid-state-battery-home-power-station;Solid-State Battery Technology | 6,000W, 120V/240V AC Output | Up to 69.2kWh | AI-Driven Energy Management | Fast Charging in 1 Hour
13;LSHOW Plasma Deodorizer: Stop Body Odor & Stay Fresh All Day;Launching;none;Gadgets;Hong Kong, Hong Kong;;LSHOW;[];https://www.kickstarter.com/projects/833938143/lshow-plasma-deodorizer-stop-body-odor-and-stay-fresh-all-day;Plasma technology silently eliminates body odor, chemical-free, suitable for all, providing a safe and long-lasting fresh experience.
