serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
374;marxmake-Desktop Smart Vacuum Former Bring Ideas to Life (Suspended);none;none;Technology;California City, CA;;marxmake;[];https://www.kickstarter.com/projects/marxmake/marxmake-desktop-smart-vacuum-former-bring-ideas-to-life;Vacuum Blister / Create Prototypes / Built-in Intelligent Dust Collection / Plastic, TPU, etc / Desktop Vacuum Forming Former Machine
375;Duo Split - Budget. Couple. Simplicity.;Launching;none;Apps;Montreal, Canada;;Mathieu Provencher;['https://duosplit.com/'];https://www.kickstarter.com/projects/duosplit/duo-split-budget-couple-simplicity;The easy way to manage budgets with your partner.
376;Invest in Love: Our.Love App;Launching;none;Apps;Tampa, FL;;Tal Zlotnitsky;['https://talzlotnitsky.com/', 'https://our.love/'];https://www.kickstarter.com/projects/ourlovecompany/invest-in-love-ourlove-app;A new app to help people build stronger, more loving and enduring relationships…and make it fun!
377;The IoT T-Shirt with Air Quality Sensor;Launching;none;Wearables;Milan, Italy;;ELEKTRA WEARABLES;['https://www.wearelektra.com/'];https://www.kickstarter.com/projects/elektrawearables/the-iot-t-shirt-with-air-quality-sensor;Breathable Italian fabrics | Choose the right path for your runs | Share stats with the community | Check data with a single tap
378;Lithium Headphones;Launching;none;Gadgets;Boston, MA;;Dan Ruby;['https://headphoneporn.com/', 'https://lithiumheadphones.com/'];https://www.kickstarter.com/projects/dan-ruby/lithium-headphones;Audiophile headphones 3D printed and assembled in Massachusetts - Soundstage, separation and detail monsters
379;GamOn;Launching;none;Apps;St. Louis, MO;;GamOn;[];https://www.kickstarter.com/projects/gamon/gamon;The app for online challenges
380;An Emoji Style Passcode Protection App;Launching;none;Apps;Bronx, NY;;Darrell Jackson;[];https://www.kickstarter.com/projects/tolassworld/an-emoji-style-passcode-protection-app;A pass code protection app that uses images to hide your code. Enter in your code no matter whose around, with complete security.
381;Clctr App;Launching;none;Apps;Las Vegas, NV;;Ryan Bury;['https://www.clctr.com/'];https://www.kickstarter.com/projects/clctrapp/clctr-app;A P2P app that offers a tailored range of features, functions, and products to better help our users build their dream collections.
382;GlassOuse PRO : Let Everyone Access Technology;Launching;none;Wearables;Central, Hong Kong;;EnnoPro Group;[];https://www.kickstarter.com/projects/ennopro/glassouse-pro-let-everyone-access-technology;A customizable wireless device allowing people with disabilities or non-functional hands to operate their phones, tablets and computer
383;Locate History;Launching;none;Apps;Whitehaven, UK;;LOCATE;[];https://www.kickstarter.com/projects/projectlocatehistory/locate-history;Locate history aims to be a map based application that will use geolocaton from your mobile device to show historical site nearby
384;FREESAY Chinese Dialogue Learning Machine;Launching;none;Gadgets;Tax, GA;;Talk Talk;[];https://www.kickstarter.com/projects/812348495/freesay-chinese-dialogue-learning-machine;AI Voice Recognition Technology l Situational Dialogue l Two-way Translation l APP Rich Content
385;Lamicall All-Lock, EDC Phone Case For Your Modern Lifestyle;Launching;none;Gadgets;Lewes, DE;;Lamicall;[];https://www.kickstarter.com/projects/1543744750/lamicall-an-edc-phonecase-makes-your-modern-lifestyle;Wraparound phone protection & modular magnetic mounting attachments, Lamicall provides protection and convenience for every iPhone user
